language,text
Kiswahili,Ninaamka asubuhi mapema.
Kiswahili,Ninasoma kitabu changu.
Kiswahili,Anaenda shuleni kila siku.
Kiswahili,Tunacheza mpira uwanjani.
Kiswahili,Wanalima shamba lao.
Kiswahili,Mama anapika chakula.
Kiswahili,Baba anafanya kazi ofisini.
Kiswahili,Watoto wanacheka sana.
Kiswahili,Ninasikiliza muziki.
Kiswahili,Anaandika barua.
Kiswahili,Tunaenda sokoni kununua mboga.
Kiswahili,Ninasafisha nyumba yangu.
Kiswahili,Wanakimbia haraka sana.
Kiswahili,Ninalala mapema usiku.
Kiswahili,Anapenda kusoma vitabu.
Kiswahili,Tunaimba nyimbo nzuri.
Kiswahili,Wanafunzi wanasoma darasani.
Kiswahili,Ninaleta maji nyumbani.
Kiswahili,Anaosha vyombo jikoni.
Kiswahili,Tunasafiri kwenda mjini.
Kiswahili,Ninasoma Kiswahili kwa bidii.
Kiswahili,Anapanda miti shambani.
Kiswahili,Tunakunywa chai asubuhi.
Kiswahili,Wanakula matunda matamu.
Kiswahili,Ninasikiliza mwalimu kwa makini.
Kiswahili,Anaandika hadithi nzuri.
Kiswahili,Tunaangalia televisheni.
Kiswahili,Wanafunzi wanajibu maswali.
Kiswahili,Ninalima bustani yangu.
Kiswahili,Anafua nguo zake.
Kiswahili,Tunatembea polepole.
Kiswahili,Wanacheza muziki kwa sauti.
Kiswahili,Ninasoma magazeti.
Kiswahili,Anaenda kanisani Jumapili.
Kiswahili,Tunasoma pamoja.
Kiswahili,Wanaimba kwa furaha.
Kiswahili,Ninalima mahindi shambani.
Kiswahili,Anafuga kuku nyumbani.
Kiswahili,Tunapanda mboga bustanini.
Kiswahili,Wanakimbia mbio ndefu.
Kiswahili,Ninasoma hesabu kila siku.
Kiswahili,Anaandika insha darasani.
Kiswahili,Tunacheza karata jioni.
Kiswahili,Wanapika chakula kitamu.
Kiswahili,Ninaleta kuni nyumbani.
Kiswahili,Anafanya mazoezi kila siku.
Kiswahili,Tunacheza dansi.
Kiswahili,Wanatembea barabarani.
Kiswahili,Ninasikiliza redio.
Kiswahili,Anaangalia filamu.
Kiswahili,Tunasoma vitabu.
Kiswahili,Wanapanda miti.
Kiswahili,Ninalala kitandani.
Kiswahili,Anaandika barua.
Kiswahili,Tunacheza mpira.
Kiswahili,Wanakunywa maji.
Kiswahili,Ninasafisha chumba.
Kiswahili,Anaosha gari.
Kiswahili,Tunatembea nje.
Kiswahili,Wanakula chakula.
Kiswahili,Ninasoma hadithi.
Kiswahili,Anaandika shuleni.
Kiswahili,Tunacheza muziki.
Kiswahili,Wanakimbia sana.
Kiswahili,Ninalima viazi.
Kiswahili,Anafua nguo.
Kiswahili,Tunakula pamoja.
Kiswahili,Wanatembea polepole.
Kiswahili,Ninasoma gazeti.
Kiswahili,Anaangalia habari.
Kiswahili,Tunapika wali.
Kiswahili,Wanakunywa chai.
Kiswahili,Ninasoma darasani.
Kiswahili,Anaandika kazi.
Kiswahili,Tunacheza nje.
Kiswahili,Wanakula matunda.
Kiswahili,Ninaleta maji.
Kiswahili,Anafanya kazi.
Kiswahili,Tunapumzika.
Kiswahili,Wanacheka sana.
Kiswahili,Mtoto mdogo analia.
Kiswahili,Mbwa anakimbia haraka.
Kiswahili,Paka amelala kitandani.
Kiswahili,Jua linawaka sana.
Kiswahili,Mvua inanyesha leo
Kiswahili,Ninanunua chakula sokoni.
Kiswahili,Anaendesha gari lake.
Kiswahili,Tunakwenda kazini asubuhi.
Kiswahili,Nikipata muda nitasoma.
Kiswahili,Ukija nitakusaidia.
Kiswahili,Tutashinda kwa juhudi.
Kiswahili,Akifanya kazi atafanikiwa.
Kiswahili,Tukienda mapema tutafika
Kiswahili,Tutashinda kwa juhudi.
Kiswahili,Wanakutana jioni.
Kiswahili,Tunakunywa maji.
Kiswahili,Wanafunzi wanacheza uwanjani wakati wa mapumziko.
Kiswahili,Mama anapika chakula kitamu jikoni.
Kiswahili,Tunaimba wimbo.
Kiswahili,Tunatembea njiani.
Kiswahili,Tunakimbia mbio.
Kiswahili,Tunapika wali.
Kiswahili,Ninasoma kitabu kila jioni.
Kiswahili,Wanasoma kitabu.
Kiswahili,Wanakula chakula.
Kiswahili,Wanakunywa maji.
Kiswahili,Wanaandika barua.
Kiswahili,Wanacheza mpira.
Kiswahili,Wanaimba wimbo.
Kiswahili,Wanatembea njiani.
Kiswahili,Wanakimbia mbio.
Kiswahili,Wanapika wali.
Kiswahili,Wanaosha vyombo.
Kiswahili,Ninasoma kitabu.
Kiswahili,Ninakula chakula.
Kiswahili,Ninakunywa maji.
Kiswahili,Ninaandika barua.
Kiswahili,Ninacheza mpira.
Kiswahili,Ninaimba wimbo.
Kiswahili,Ninatembea njiani.
Kiswahili,Ninakimbia mbio.
Kiswahili,Ninapika wali.
Kiswahili,Ninaosha vyombo.
Kiswahili,Anasoma kitabu.
Kiswahili,Anakula chakula.
Kiswahili,Anakunywa maji.
Kiswahili,Anaandika barua.
Kiswahili,Anacheza mpira.
Kiswahili,Anaimba wimbo.
Kiswahili,Anatembea njiani.
Kiswahili,Anakimbia mbio.
Kiswahili,Anapika wali.
Kiswahili,Anaosha vyombo.
Kiswahili,Tunasoma kitabu.
Kiswahili,Tunakula chakula.
Kiswahili,Tunakunywa maji.
Kiswahili,Tunaandika barua.
Kiswahili,Tunacheza mpira.
Kiswahili,Tunaimba wimbo.
Kiswahili,Tunatembea njiani.
Kiswahili,Tunakimbia mbio.
Kiswahili,Tunapika wali.
Kiswahili,Tunaosha vyombo.
Kiswahili,Wanasoma kitabu.
Kiswahili,Wanakula chakula.
Kiswahili,Wanakunywa maji.
Kiswahili,Wanaandika barua.
Kiswahili,Wanacheza mpira.
Kiswahili,Wanaimba wimbo.
Kiswahili,Wanatembea njiani.
Kiswahili,Wanakimbia mbio.
Kiswahili,Wanapika wali.
Kiswahili,Wanaosha vyombo.
Kiswahili,Ninasoma kitabu.
Kiswahili,Ninakula chakula.
Kiswahili,Ninakunywa maji.
Kiswahili,Ninaandika barua.
Kiswahili,Ninacheza mpira.
Kiswahili,Ninaimba wimbo.
Kiswahili,Ninatembea njiani.
Kiswahili,Ninakimbia mbio.
Kiswahili,Ninapika wali.
Kiswahili,Ninaosha vyombo.
Kiswahili,Anasoma kitabu.
Kiswahili,Anakula chakula.
Kiswahili,Anakunywa maji.
Kiswahili,Anaandika barua.
Kiswahili,Anacheza mpira.
Kiswahili,Anaimba wimbo.
Kiswahili,Anatembea njiani.
Kiswahili,Anakimbia mbio.
Kiswahili,Anapika wali.
Kiswahili,Anaosha vyombo.
Kiswahili,unasoma kitabu.
Kiswahili,Tunakula chakula.
Kiswahili,Tunakunywa maji.
Kiswahili,Tunaandika barua.
Kiswahili,Tunacheza mpira.
Kiswahili,Tunaimba wimbo.
Kiswahili,Tunatembea njiani.
Kiswahili,Tunakimbia mbio.
Kiswahili,Tunapika wali.
Kiswahili,Tunaosha vyombo.
Kiswahili,Wanasoma kitabu.
Kiswahili,Wanakula chakula.
Kiswahili,Wanakunywa maji.
Kiswahili,Wanaandika barua.
Kiswahili,Wanacheza mpira.
Kiswahili,Wanaimba wimbo.
Kiswahili,Wanatembea njiani.
Kiswahili,Wanakimbia mbio.
Kiswahili,Wanapika wali.
Kiswahili,Wanaosha vyombo.
Kiswahili,Ninasoma kitabu.
Kiswahili,Ninakula chakula.
Kiswahili,Ninakunywa maji.
Kiswahili,Ninaandika barua.
Kiswahili,Ninacheza mpira.
Kiswahili,Ninaimba wimbo.
Kiswahili,Ninatembea njiani.
Kiswahili,Ninakimbia mbio.
Kiswahili,Ninapika wali.
Kiswahili,Ninaosha vyombo.
Kiswahili,Anasoma kitabu.
Kiswahili,Anakula chakula.
Kiswahili,Anakunywa maji.
Kiswahili,Anaandika barua.
Kiswahili,Anacheza mpira.
Kiswahili,Anaimba wimbo.
Kiswahili,Anatembea njiani.
Kiswahili,Anakimbia mbio.
